name,address,lat,lng
"CONS. PROPIETARIOS TOTORAL 905","TOTORAL 905",-34.6232982,-58.4228234
"CONS. PROPIETARIOS URIBURU 177","URIBURU 177",-34.6075601,-58.397744
"CONS. PROPIETARIOS VENEZUELA 1253","VENEZUELA 1253",-34.6152097,-58.404737
"CONS. PROPIETARIOS YATAY 535","YATAY 535",-34.6056099,-58.4289315
"D'ARC CONGRESO","CONGRESO 1550",-34.5510236,-58.4537462
"D'ARC TRIUNVIRATO","AV.TRIUNVIRATO 3524",-34.5826587,-58.4711942
"DANTE ALIGHIERI","AV.CABILDO 2772",-34.5565134,-58.4618489
"DENO","QUEVEDO 3365",-34.61153,-58.5168606
"DEVOTO","Calle Quevedo 3365, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1417, Ciudad Autónoma de Buenos Aires",-34.611699811468,-58.518071527834
"DISPLAY AUDIOVISUAL","HUMBERTO 1 : 545",-34.6206794,-58.3734734
"EL LAUQUEN CASA DE CAMPO","RUTA 58, KM 10,5 . SAN VICENTE, PROV DE BS.AS",-34.9331920614643,-58.486392485742
"ESET","JUAN DIAZ DE SOLIS 1270",-34.5207508,-58.4714112
"ESTISOL","IGUAZU 921",-34.6479881,-58.4049938
"ESTISOL NOVAPOL","AV. DR.HONORIO PUEYRREDON 6100 /VILLA ROSA/ PROVINCIA DE BUENOS AIRES",-34.4256278,-58.8777121
"ESTISOL PAPERFOOD","AV. DR.HONORIO PUEYRREDON 6100 /VILLA ROSA/ PROVINCIA DE BUENOS AIRES",-34.4256278,-58.8777121
"FLOWSERVE","DEBENEDETTI 3895 - OLIVOS",-34.5130638,-58.5217091
"GLOBAL 66","",-34.4978652,-58.5307795
"IGALTEX LACROZE","PASAJE LACROZE 960 ( SAN MARTIN )",-34.5890559,-58.5324722
"IGALTEX PODESTA","SARGENTO DIAZ 8194  ( PABLO PODESTA)",-34.581444,-58.6033032
"IGALTEX SAENZ PEÑA","ROBERTO LAGE 441 ( SAENZ PEÑA )",-34.5968033,-58.5303191
"IGALTEX SAN MARTIN","PASAJE LACROZE 960 ( SAN MARTIN )",-34.5890559,-58.5324722
"INDEPENDENT SHIP","AV. DEL LIBERTADOR 602 - piso 9",-34.5887098135198,-58.3821280799613
"INDUSTRIAS ERPLA","ANTONIO BERUTI 1811 - FLORIDA OESTE- VICENTE LOPEZ -BS AS",-34.5420811268891,-58.527386641245
"INST. OTORRINOLARONGOLOGICO ARAUZ","TTE . GRAL . JUAN DOMINGO PERON 2150 -CABA",-34.6072034055586,-58.3971318605863
"INST. PARROQUIAL LUJAN PORTEÑO","FRANCISCO BILBAO 3476",-34.6418724,-58.4698862
"KEMINI","JULIAN ALVAREZ 791",-34.5981554,-58.4320447
"KEMINI (DEPOSITO)","JULIAN ALVAREZ 791",-34.5981554,-58.4320447
"LIBRA SEGUROS","GUAYRA 1737",-34.5491267,-58.4580599
"LOGISTICA MILO","CARABELAS 2318 ( SARANDI)",-34.6959446743855,-58.3616165778453
"LUXCAR LUJAN","COLECTORA SUR ACC. OESTE RUTA 5",-34.5689739562383,-59.0663265621898
"LUXCAR MORENO","COLECTORA SUR ACC. OESTE 36.800",-34.636039262177,-58.784227687674
"LUXCAR MORON","CAÑADA DE JUAN RUIZ 498 ( ESQUINA ALEM , CASTELAR)",-34.6456437434681,-58.6268904541401
"LUXCAR PARQUE LELOIR","AV.PRES. PERON 8749 , COLEC . Norte Acc. Oeste",-34.6282303898514,-58.6945262359245
"LUXCAR SAN MIGUEL","AV. PRES. ARTURO UMBERTO ILLIA 4197 ( ESQUINA ARGUERO )",-34.5290396509515,-58.7069206460065
"MAPEMFI","AV.LA PLATA 180 - CABA",-34.6169802,-58.4285258
"MASSA MAQUINARIAS","AVENIDA JUAN B JUSTO 5768",-34.5779804,-58.4270515
"MERCADO ELECTRICO","CARLOS CALVO 1860",-34.6203078,-58.3925503
"MERIDIAN","TUCUMAN 821",-34.6011838,-58.3785217
"MICHELIN","LASCANO 5136 CABA",-34.6215612,-58.5105077
"NAVIJET (LIBERTADOR 602)","AV. DEL LIBERTADOR 602 - PISO 12",-34.5886425158544,-58.3821915631689
